accession	description
"SRR10784660"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363921"
"SRR10784661"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363922"
"SRR10784662"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363923"
"SRR10784663"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363924"
"SRR10784664"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363925"
"SRR10784665"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363926"
"SRR10784666"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363927"
"SRR10784667"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363928"
"SRR10784668"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363929"
"SRR10784669"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363930"
"SRR10784670"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363931"
"SRR10784671"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363932"
"SRR10784672"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363933"
"SRR10784673"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363934"
"SRR10784674"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363935"
"SRR10784675"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363936"
"SRR10784676"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363937"
"SRR10784677"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363938"
"SRR10784678"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363939"
"SRR10784679"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363940"
"SRR10784680"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363941"
"SRR10784681"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363942"
"SRR10784682"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363943"
"SRR10784683"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363944"
"SRR10784684"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363945"
"SRR10784685"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363946"
"SRR10784686"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363947"
"SRR10784687"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363948"
"SRR10784688"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363949"
"SRR10784689"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363950"
"SRR10784690"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363951"
"SRR10784691"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363952"
"SRR10784692"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363953"
"SRR10784693"	"unspecified sequencing; single-cell RNAseq of human NSCLC: Sample SAMN13363954"
